file,changed_lines
tileops/kernels/linear_attn/gated_delta_net/gated_deltanet_bwd.py,1719
.github/workflows/nightly.yml,1427
tileops/kernels/fft/fft_c2c_lut.py,1200
tileops/kernels/fft/fft_c2c.py,1084
tests/ops/test_gated_deltanet_bwd.py,848
scripts/nightly_report.py,825
tileops/kernels/linear_attn/gated_delta_net/gated_deltanet_fwd.py,786
tileops/kernels/attention/gqa_fwd_ws.py,776
.claude/skills/tune-multiplication/skill.md,713
tileops/kernels/linear_attn/gla/gla_bwd.py,703
benchmarks/ops/bench_gated_deltanet_fla_validation.py,660
benchmarks/benchmark.py,586
tileops/kernels/attention/gqa_fwd.py,572
tileops/kernels/linear_attn/gla/gla_fwd.py,571
tileops/kernels/linear_attn/gated_delta_net/prepare_wy_repr.py,562
tileops/kernels/linear_attn/gla/gla_decode.py,526
top/kernels/flash_decode/mha_decode_paged.py,511
tileops/ops/fft.py,509
tileops/kernels/linear_attn/gated_delta_net/gated_deltanet_decode.py,498
tests/ops/attention/test_gqa.py,481
tileops/ops/attention/gqa.py,479
tileops/kernels/deltanet_recurrence/deltanet_decode.py,471
tileops/kernels/deltanet_chunkwise/deltanet_bwd.py,467
benchmarks/ops/bench_gated_deltanet_vs_fla.py,458
tileops/kernels/engram/engram_bwd.py,445
